tanggal_tweet;User;Isi_tweet;Sentiment
06/01/2021 18:00;Muhamad Farlan; Apa kah bener ini akun bu risma;netral
06/01/2021 18:00;Ndoro Bei;Gelandangan yang Ditemui Risma jadi Buronan Anies Baswedan ;netral
06/01/2021 17:59;sulezdn;Kasihan bu risma pas di jakaa sepakterjangnya kelihatan.;netral
06/01/2021 17:59;Bonnar Samiaji;Bu Risma itu jaminan mutu, udah terbukti di Surabaya, memimpin dua periode, Surabaya menjadi kota Metropolitan;netral
06/01/2021 17:59;Okta Wijaya;Bu risma ga salah dan juga bukan salah Pak anies, kalo memang itu adalah tupoksi nya yasudah gapapa.Tapi sepei kita ketahui track record keduanya ya kita liat aja. Simple kok;netral
06/01/2021 17:59;nd.mendez;Mengungkap Sosok Gelandangan yang Ditemui Risma saat Blusukan ;netral
06/01/2021 17:59;Dimas Prasetyo aji;bu risma;netral
06/01/2021 17:58;JanganMenyerah;Jika Benar Temui Tuna Wisma Dadakan, Lebih Terhormat Risma Mundur dari Mensos;netral
06/01/2021 17:58;Tony Marsal;Gubernur DKI Anies Baswedan meminta Kadinsos mengecek sosok tunawisma yang ditemui Mensos Risma di kawasan SudirmanThamrin.;netral
06/01/2021 17:58;luca;Sekejam  kejamnya Ibu Tiri masih lebih kejam Ibukota. ;netral
06/01/2021 17:58;SG;Lagian masih ada aja yang percaya, heran ;netral
06/01/2021 17:58;Reza Achmad;Anies Minta Cek Tunawisma yang Ditemui Risma, Kadinsos: Tak Ketemu Lagi, Gak Tau Kemana;netral
06/01/2021 17:58;Ariel A Smith;175 KK Tinggal di Kolong Tol WaruTanjung Perak Surabaya, Mengaku Tak Pernah Didatangi Risma. Waduh ;netral
06/01/2021 17:58;mak tib;Gelandangan yang Ditemui Risma jadi Buronan Anies Baswedan ;netral
06/01/2021 17:57;MuadzinLanggar;Sekejam  kejamnya Ibu Tiri masih lebih kejam Ibukota. ;netral
06/01/2021 17:57;Tukang Kebun Tetap Oposisi;Anies Minta Dinsos Cek Identitas Pengemis yang Ditemukan Mensos Risma saat Blusukan;netral
06/01/2021 17:57;Catur Pamungkas;Mengungkap Gelandangan yang Ditemui Risma saat Blusukan ;netral
06/01/2021 17:57;Catur Pamungkas;Fadli Zon Komentari Cuitan Fahri Hamzah soal Blusukan Risma: Telah Kehilangan Kesabaran Nonton Drama;netral
06/01/2021 17:57;ngoekoer dalan;Warga Surabaya Banyak di Kolong Jembatan. ibukota Kumuh,dibongkar Bu Risma kalian kebakaran jenggot ;positif
06/01/2021 17:57;Asep Kosasih;Jika Benar Temui Tuna Wisma Dadakan, Lebih Terhormat Risma Mundur Dari Mensos;netral
06/01/2021 17:57;Tony Marsal;Mengungkap Gelandangan yang Ditemui Risma saat Blusukan ;netral
