Tanggal_tweet;Pengguna;Isi_tweet;Sentiment
15/12/2020 10:52;katiktubin;"RT @Meerantika: POLRI Sebut Habib Rizieq Ditahan KUKAN krn melanggar Prokes. Tapi karena penghasut. 
(Padahal, delik awal itu melanggar Proâ€¦";netral
15/12/2020 11:01;detikcom;#Terpopuler Ratusan orang pendukung Habib Rizieq Sihab menggeruduk Mapolres Cianjur, Senin (14/12/2020) siang. Massâ€¦ https://t.co/7q9h0lnHwM;netral
15/12/2020 11:01;n0eII;"RT @gelooraco: FPI Bogor Siap Mati Jika Sehelai saja Rambut Habib Rizieq Jatuh karena Dizalimi
https://t.co/xnfP75rKaq";netral
15/12/2020 11:01;yusuf_karibian;"RT @OposisiCerdas: Habib Rizieq Diborgol Polisi, Ulama Betawi: Cucu Rasulullah Diperlakukan Seperti Itu
https://t.co/697yGWhKVz";netral
15/12/2020 11:01;suka_tx;RT @fadlizon: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Menyebut Ada yang Dendam dengan HRS https://t.co/vYnCtFsbDP lewâ€¦;netral
15/12/2020 11:01;YudiHerlamban13;"RT @Baracuda1818: Ingat anak ingat suami saat sdh ketangkap...
Tp lupa saat mencaci maki polisi....
Tik tokmu harimau mu emak......ðŸ¤ª
Bravoâ€¦";netral
15/12/2020 11:01;17_parikesit;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 11:01;alfinamiruddin;"RT @Mdy_Asmara1701: Simak webinar yang dipandu mbak @rahmasarita...

Karena Habib Rizieq nggak bisa dirangkul, dia dihabisi

Selengkapnya ðŸ‘‡â€¦";netral
15/12/2020 11:01;SubandrioEddy;"RT @MrsRachelIn: Udahlah mbahh.  . ... negri ini udah gaduh, jangan ditambah gaduh lg 

6 Pengawal Habib Rizieq Diautopsi Tanpa Izin, Amienâ€¦";netral
15/12/2020 11:01;DrNurjaya;"RT @OposisiCerdas: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Sebut Ada yang Dendam pada HRS
https://t.co/XyHyU6MvyE";netral
15/12/2020 11:01;truthwarrior08;"RT @alexander_murfi: Massa Bukan FPI Geruduk Polsek-Polsek di Palembang, Minta Habib Rizieq Dibebaskan

Jika saudaranya sakit maka saudaranâ€¦";netral
15/12/2020 11:01;Swarnad71915084;RT @RMOLOfficial: @SirianaGde: Tidak Suka Habib Rizieq Dan FPI Itu Hak, Tapi 6 Laskar Itu Nyawa Manusia https://t.co/h8PwzXGfUg;netral
15/12/2020 11:00;irsansanusi1;"RT @OposisiCerdas: Massa Bukan FPI Geruduk Polsek-Polsek di Palembang, Minta Habib Rizieq Dibebaskan
https://t.co/K4cVsmVAS6";netral
15/12/2020 11:00;MangUcuy;"RT @Mdy_Asmara1701: Simak webinar yang dipandu mbak @rahmasarita...

Karena Habib Rizieq nggak bisa dirangkul, dia dihabisi

Selengkapnya ðŸ‘‡â€¦";netral
15/12/2020 11:00;NanaSur49340072;"RT @yaniarsim: #BebaskanIBHRS
Ribuan masyarakat banten berorasi didepan kantor KomnasHam Banten menuntut pembebasan Habib Rizieq Shihab. htâ€¦";netral
15/12/2020 11:00;nasgortrasi;"RT @OposisiCerdas: Habib Rizieq Diborgol Polisi, Ulama Betawi: Cucu Rasulullah Diperlakukan Seperti Itu
https://t.co/697yGWhKVz";netral
15/12/2020 11:00;ginabunga_1979;"RT @gelooraco: FPI Bogor Siap Mati Jika Sehelai saja Rambut Habib Rizieq Jatuh karena Dizalimi
https://t.co/xnfP75rKaq";netral
15/12/2020 11:00;Azzam94367080;"RT @gelooraco: FPI Bogor Siap Mati Jika Sehelai saja Rambut Habib Rizieq Jatuh karena Dizalimi
https://t.co/xnfP75rKaq";netral
15/12/2020 11:00;musa_umroh;"RT @Kanseulir: Bagaimana Jika Hotman Paris Didaulat Membela Habib Rizieq?

Bagus Sekali, Agar Para Pembenci Itu Tahu, Perkara SARA Hanyalahâ€¦";netral
15/12/2020 11:00;nasgortrasi;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 11:00;LepoyMane;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 11:00;ahmadmuslich;"RT @idtodayco: Habib Rizieq Shihab Pilih Puasa Setiap Hari Saat Ditahan di Polda Metro Jaya 
https://t.co/tNynv16FKq";netral
15/12/2020 11:00;pinokio_togog;"RT @MuhammaD19s: Ya Rabb ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ¤²ðŸ¤²  , Tuan Guru Mulia bersama Putrinya membaca Qasidah karangannya yaitu KISAH RASUL ðŸ˜ðŸ˜

AURA seorang IMAM jelaâ€¦";netral
15/12/2020 11:00;InuSuhraeni;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 11:00;anyamanying;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 11:00;katiktubin;"RT @idtodayco: Habib Rizieq Shihab Pilih Puasa Setiap Hari Saat Ditahan di Polda Metro Jaya 
https://t.co/tNynv16FKq";netral
15/12/2020 11:00;GTVID_News;Kuasa Hukum Habib Rizieq Shihab, Sumadi Atmadja menilai kliennya seperti sudah jadi target untuk dijadikan tersangkâ€¦ https://t.co/j9fYcXbp9F;netral
15/12/2020 10:59;ahmagun13;"RT @gelooraco: FPI Bogor Siap Mati Jika Sehelai saja Rambut Habib Rizieq Jatuh karena Dizalimi
https://t.co/xnfP75rKaq";netral
15/12/2020 10:59;Santi_awat;RT @MCAOps: Tim advokasi Habib Rizieq secara resmi telah mendaftarkan gugatan praperadilan terhadap penetapan tersangka dan penanahan olehâ€¦;netral
15/12/2020 10:59;Yoyoga10;RT @arwidodo: Semoga Prof @Yusrilihza_Mhd konsisten dengan ucapan beliau dalam klip ini dan semoga beliau siap melakukan pembelaan terhadapâ€¦;netral
15/12/2020 10:59;Cyb4n7n4mI;"RT @gelooraco: FPI Bogor Siap Mati Jika Sehelai saja Rambut Habib Rizieq Jatuh karena Dizalimi
https://t.co/xnfP75rKaq";netral
15/12/2020 10:59;RikkyKurus4;"Salah kaprah ðŸ™…ðŸ»â€â™‚ï¸
Mengagungkan sosok intoleransi beragama ðŸ¤¦ðŸ»â€â™‚ï¸
 https://t.co/INHeZRtXCj";netral
15/12/2020 10:59;JohnMeok;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:59;7sevenAstra;"RT @gelooraco: FPI Bogor Siap Mati Jika Sehelai saja Rambut Habib Rizieq Jatuh karena Dizalimi
https://t.co/xnfP75rKaq";netral
15/12/2020 10:59;AriestaRiico_;"RT @Baracuda1818: Ingat anak ingat suami saat sdh ketangkap...
Tp lupa saat mencaci maki polisi....
Tik tokmu harimau mu emak......ðŸ¤ª
Bravoâ€¦";netral
15/12/2020 10:59;pujiwidodo219;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:59;raffie_aqmal;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:58;Abdul_tpc;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:58;akhirzaman78;RT @zarazettirazr: Better safe than sorry. Setidaknya ke HALAL an nya terjamin kalau masakan rumah https://t.co/tsgDYfAlr1;positif
15/12/2020 10:58;zakyhasan16;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:58;firdausy_Btn09;"RT @alexander_murfi: Massa Bukan FPI Geruduk Polsek-Polsek di Palembang, Minta Habib Rizieq Dibebaskan

Jika saudaranya sakit maka saudaranâ€¦";netral
15/12/2020 10:58;sugito43334255;"RT @geloraco: Habib Rizieq Diborgol Polisi, Ulama Betawi: Cucu Rasulullah Diperlakukan Seperti Itu
https://t.co/QvkQcgyZxF";netral
15/12/2020 10:58;Adi_Interista;RT @TAMAG0JIMIN: Nikita Mirzani menanggapi penetapan status Habib Rizieq menjadi tersangka dalam kasus kerumunan massa di daerah Petamburanâ€¦;netral
15/12/2020 10:58;gelooraco;"FPI Bogor Siap Mati Jika Sehelai saja Rambut Habib Rizieq Jatuh karena Dizalimi
https://t.co/xnfP75rKaq";netral
15/12/2020 10:57;AyiIsmail4;"RT @alexander_murfi: Massa Bukan FPI Geruduk Polsek-Polsek di Palembang, Minta Habib Rizieq Dibebaskan

Jika saudaranya sakit maka saudaranâ€¦";netral
15/12/2020 10:57;ad3nb46us;"RT @geloraco: Ada Rasa Khawatir, Habib Rizieq Pilih Konsumsi Makanan dari Keluarga selama Ditahan
https://t.co/EKPeDgwfED";netral
15/12/2020 10:57;aria_kamandanu;RT @fadlizon: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Menyebut Ada yang Dendam dengan HRS https://t.co/vYnCtFsbDP lewâ€¦;netral
15/12/2020 10:57;farhan_nip;RT @islamidotco: Bukan cuma Habib Rizieq Shihab, ulama yang dijebloskan ke penjara. Zaman kekhalifahan dulu malah lebih banyak ulama yang dâ€¦;netral
15/12/2020 10:57;roon3651;"RT @MCAOps: Lingkar Madani: ""Cara aparat keamanan melakukan penegakan hukum atas Habib Rizieq kurang profesional. Ada isu yang dibangun bahâ€¦";netral
15/12/2020 10:57;salehug;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:57;MariSan11513787;"RT @geloraco: Habib Rizieq Diborgol Polisi, Ulama Betawi: Cucu Rasulullah Diperlakukan Seperti Itu
https://t.co/QvkQcgyZxF";netral
15/12/2020 10:57;anaswongkamfung;"RT @OposisiCerdas: Guru Habib Muhammad Al-Haddad Bermimpi, Rasulullah SAW Restui Habib Rizieq
https://t.co/jOuM8omY2O";netral
15/12/2020 10:57;BangAsee;@arynsweetness Habib rizieq;netral
15/12/2020 10:57;deaboy1;RT @MCAOps: Tim advokasi Habib Rizieq secara resmi telah mendaftarkan gugatan praperadilan terhadap penetapan tersangka dan penanahan olehâ€¦;netral
15/12/2020 10:56;salehug;RT @fadlizon: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Menyebut Ada yang Dendam dengan HRS https://t.co/vYnCtFsbDP lewâ€¦;netral
15/12/2020 10:56;ImanKartiman3;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:56;Andirac88156352;"RT @Mdy_Asmara1701: Simak webinar yang dipandu mbak @rahmasarita...

Karena Habib Rizieq nggak bisa dirangkul, dia dihabisi

Selengkapnya ðŸ‘‡â€¦";netral
15/12/2020 10:56;Zahrah40291660;RT @idtodayco: Hotman Paris Diminta Maju Bela Habib Rizieq, Pendukung FPI Siap Iuran Bayar Jasanya https://t.co/pPATImcitd;netral
15/12/2020 10:56;naufal17aziz;"RT @OposisiCerdas: PKS â€˜Pasang Badanâ€™ Buat Habib Rizieq
https://t.co/70KPQo61qw";netral
15/12/2020 10:56;Lam_Sijan;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:56;Adi_Interista;"RT @pembwalap: Kali aja pada mo reunian di penjara, 
nih passwordnya ðŸ‘‰ ""Jgn macem2 sama janda anak 3, tumbang semua kan huaaaaaa""  ðŸ˜¤ðŸ¤£ðŸ¤£

httâ€¦";netral
15/12/2020 10:56;dyckbala;"RT @geloraco: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Sebut Ada yang Dendam pada HRS
https://t.co/FQmueU0hfg";netral
15/12/2020 10:56;jpnncom;Tim hukum FPI resmi mengajukan praperadilan ke Pengadilan Negeri Jakarta Selatan terkait penetapan tersangka dan peâ€¦ https://t.co/RiAiBbrkRl;netral
15/12/2020 10:55;CekWi3;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:55;salehug;"RT @SINDOnews: Kasus Habib Rizieq, Ini Pesan @fadlizon untuk @jokowi , @mohmahfudmd dan Kapolri
#Nasional #BukanBeritaBiasa 

https://t.co/â€¦";netral
15/12/2020 10:55;UsmanEndah;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:55;IjoRamadhan;RT @TAMAG0JIMIN: Nikita Mirzani menanggapi penetapan status Habib Rizieq menjadi tersangka dalam kasus kerumunan massa di daerah Petamburanâ€¦;netral
15/12/2020 10:55;cahlurus91;"RT @Mdy_Asmara1701: Simak webinar yang dipandu mbak @rahmasarita...

Karena Habib Rizieq nggak bisa dirangkul, dia dihabisi

Selengkapnya ðŸ‘‡â€¦";netral
15/12/2020 10:55;Satir76;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:55;umam_chaerul;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:54;TomJerry525;"RT @geloraco: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Sebut Ada yang Dendam pada HRS
https://t.co/FQmueU0hfg";netral
15/12/2020 10:54;salehug;RT @fadlizon: Kasus Habib Rizieq, Ini Pesan Fadli Zon untuk Jokowi, Mahfud... https://t.co/u7yBiAlgBD;netral
15/12/2020 10:54;Butter_Layer;RT @fadlizon: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Menyebut Ada yang Dendam dengan HRS https://t.co/vYnCtFsbDP lewâ€¦;netral
15/12/2020 10:54;ayzamputra1;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:54;radarbogorID;Aspirasi Diterima, Massa Habib Rizieq di Mapolres Bogor Kota Bubarkan DiriÂ  https://t.co/TnAIHEML08 lewat @radarbogorID;netral
15/12/2020 10:54;IjoRamadhan;RT @TAMAG0JIMIN: Muhammad Rizieq Shihab direncanakan akan kembali ke tanah air usai beberapa waktu lalu memutuskan singgah di tanah Arab Saâ€¦;netral
15/12/2020 10:54;wawan_bogor;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:54;larkapul;"RT @MrsRachelIn: Yg maki2 Polisi udah diserok nih .

Emak emak Yang Sebut Polisi  Dajjal Karena Tangkap Habib Rizieq Diciduk
https://t.co/8â€¦";netral
15/12/2020 10:54;SRosulullah;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:54;MpoJakrta;"RT @yaniarsim: #BebaskanIBHRS
Ribuan masyarakat banten berorasi didepan kantor KomnasHam Banten menuntut pembebasan Habib Rizieq Shihab. htâ€¦";netral
15/12/2020 10:54;Adi_Interista;RT @TAMAG0JIMIN: Muhammad Rizieq Shihab direncanakan akan kembali ke tanah air usai beberapa waktu lalu memutuskan singgah di tanah Arab Saâ€¦;netral
15/12/2020 10:54;viskaya;RT @zarazettirazr: Lagu Rohatil Athyaru Tasydu (Kisah Sang Rasul) Ciptaan Habib Rizieq Shihab https://t.co/pUQqPBwexq;netral
15/12/2020 10:54;dendjupria;"RT @alexander_murfi: Massa Bukan FPI Geruduk Polsek-Polsek di Palembang, Minta Habib Rizieq Dibebaskan

Jika saudaranya sakit maka saudaranâ€¦";netral
15/12/2020 10:54;reedmitt;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:53;zhevridwan;RT @zeero_count: Breaking News Tim Advokasi Imam Besar Habib Rizieq Shihab Resmi Daftarkan Permohonan Pra Peradilan Di PN Jaksel 15/12/20 hâ€¦;netral
15/12/2020 10:53;nzwniskndr;RT @islamidotco: Bukan cuma Habib Rizieq Shihab, ulama yang dijebloskan ke penjara. Zaman kekhalifahan dulu malah lebih banyak ulama yang dâ€¦;netral
15/12/2020 10:53;Swarnad71915084;RT @fadlizon: Habib Rizieq Diduga Mendapatkan Diskriminasi Hukum, Fadli Zon Menyebut Ada yang Dendam dengan HRS https://t.co/vYnCtFsbDP lewâ€¦;netral
15/12/2020 10:53;AriefHi64201710;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:53;malun50381;"RT @Puspen_FPI: Amanat Perjuangan DPP FPI:
Kepada seluruh Anggota, Laskar dan Simpatisan FPI serta Pecinta Imam Besar Habib Rizieq Syihab;â€¦";netral
15/12/2020 10:53;DadangSuhanda92;"@KING__VADUKA Kebiasaan ""ngemaklun"" karya tulis ! Beresin dulu ""judul""-nya...! biar publik tidak dibuat-nya bodoh..â€¦ https://t.co/y7FGDcJXh1";netral
15/12/2020 10:53;EgiPrat68334315;RT @idtodayco: Hotman Paris Diminta Maju Bela Habib Rizieq, Pendukung FPI Siap Iuran Bayar Jasanya https://t.co/pPATImcitd;netral
15/12/2020 10:53;Muhamma82793555;"RT @Mdy_Asmara1701: Simak webinar yang dipandu mbak @rahmasarita...

Karena Habib Rizieq nggak bisa dirangkul, dia dihabisi

Selengkapnya ðŸ‘‡â€¦";netral
